key,readability_level
vector_rerank__smollm2-1.7b__nomic,45
vector_rerank__smollm2-1.7b__nomic,35
vector_rerank__smollm2-1.7b__nomic,45
vector_rerank__smollm2-1.7b__nomic,78
vector_rerank__smollm2-1.7b__nomic,45
vector_rerank__smollm2-1.7b__nomic,78
vector_rerank__smollm2-1.7b__nomic,72
vector_rerank__smollm2-1.7b__nomic,72
vector_rerank__smollm2-1.7b__nomic,65
vector_rerank__smollm2-1.7b__nomic,65
vector_rerank__smollm2-1.7b__nomic,72
vector_rerank__smollm2-1.7b__nomic,55
vector_rerank__smollm2-1.7b__nomic,45
vector_rerank__smollm2-1.7b__nomic,65
vector_rerank__smollm2-1.7b__nomic,65
vector_rerank__smollm2-1.7b__nomic,65
vector_rerank__smollm2-1.7b__nomic,65
vector_rerank__smollm2-1.7b__nomic,72
vector_rerank__smollm2-1.7b__nomic,72
vector_rerank__smollm2-1.7b__nomic,78
vector_rerank__smollm2-1.7b__nomic,72
