key,readability_level
vector_store__llama3.2-3b__nomic,78
vector_store__llama3.2-3b__nomic,78
vector_store__llama3.2-3b__nomic,78
vector_store__llama3.2-3b__nomic,78
vector_store__llama3.2-3b__nomic,72
vector_store__llama3.2-3b__nomic,78
vector_store__llama3.2-3b__nomic,78
vector_store__llama3.2-3b__nomic,72
vector_store__llama3.2-3b__nomic,72
vector_store__llama3.2-3b__nomic,72
vector_store__llama3.2-3b__nomic,72
vector_store__llama3.2-3b__nomic,72
vector_store__llama3.2-3b__nomic,78
vector_store__llama3.2-3b__nomic,78
vector_store__llama3.2-3b__nomic,72
vector_store__llama3.2-3b__nomic,65
vector_store__llama3.2-3b__nomic,72
vector_store__llama3.2-3b__nomic,85
vector_store__llama3.2-3b__nomic,78
vector_store__llama3.2-3b__nomic,85
vector_store__llama3.2-3b__nomic,72
