key,readability_level
hybrid__llama3.2-1b__nomic,65
hybrid__llama3.2-1b__nomic,68
hybrid__llama3.2-1b__nomic,72
hybrid__llama3.2-1b__nomic,72
hybrid__llama3.2-1b__nomic,65
hybrid__llama3.2-1b__nomic,55
hybrid__llama3.2-1b__nomic,85
hybrid__llama3.2-1b__nomic,72
hybrid__llama3.2-1b__nomic,78
hybrid__llama3.2-1b__nomic,55
hybrid__llama3.2-1b__nomic,85
hybrid__llama3.2-1b__nomic,65
hybrid__llama3.2-1b__nomic,78
hybrid__llama3.2-1b__nomic,72
hybrid__llama3.2-1b__nomic,72
hybrid__llama3.2-1b__nomic,72
hybrid__llama3.2-1b__nomic,55
hybrid__llama3.2-1b__nomic,65
hybrid__llama3.2-1b__nomic,65
hybrid__llama3.2-1b__nomic,78
hybrid__llama3.2-1b__nomic,65
