key,readability_level
prompt__role_playing__llama3.2-3b,78
prompt__role_playing__llama3.2-3b,72
prompt__role_playing__llama3.2-3b,78
prompt__role_playing__llama3.2-3b,78
prompt__role_playing__llama3.2-3b,72
prompt__role_playing__llama3.2-3b,72
prompt__role_playing__llama3.2-3b,78
prompt__role_playing__llama3.2-3b,78
prompt__role_playing__llama3.2-3b,78
prompt__role_playing__llama3.2-3b,78
prompt__role_playing__llama3.2-3b,78
prompt__role_playing__llama3.2-3b,78
prompt__role_playing__llama3.2-3b,78
prompt__role_playing__llama3.2-3b,72
prompt__role_playing__llama3.2-3b,65
prompt__role_playing__llama3.2-3b,78
prompt__role_playing__llama3.2-3b,65
prompt__role_playing__llama3.2-3b,78
prompt__role_playing__llama3.2-3b,72
prompt__role_playing__llama3.2-3b,85
prompt__role_playing__llama3.2-3b,78
