chunk_size,overlap,avg_time,avg_faithfulness,avg_relevancy
128,0.1,0.5187401969165089,0.983957219251337,0.9010695187165776
128,0.2,0.5221592927361555,0.9893048128342246,0.893048128342246
128,0.3,0.5380876338418155,0.983957219251337,0.8983957219251337
128,0.4,0.5411100260076676,0.9812834224598931,0.8983957219251337
128,0.5,0.5300971403478939,0.9786096256684492,0.8983957219251337
256,0.1,0.6106873814434929,1.0,0.9893048128342246
256,0.2,0.6017448895755299,1.0,0.9919786096256684
256,0.3,0.6024577821639769,0.9973262032085561,0.9893048128342246
256,0.4,0.6199399972344465,0.9973262032085561,0.9866310160427807
256,0.5,0.7579082703207903,1.0,0.9893048128342246
512,0.1,0.652317872021925,0.9973262032085561,0.9946524064171123
512,0.2,0.6394381191641252,0.9973262032085561,0.9893048128342246
512,0.3,0.6446087079889634,1.0,0.9919786096256684
512,0.4,0.6510782790056524,0.9919786096256684,0.9919786096256684
512,0.5,0.6224274067955221,0.9973262032085561,0.9946524064171123
1024,0.1,0.6372356669788055,0.9973262032085561,0.9919786096256684
1024,0.2,0.6888595876846721,1.0,0.9919786096256684
1024,0.3,0.6798844872948958,0.9919786096256684,0.9893048128342246
1024,0.4,0.7029049128772104,0.9973262032085561,0.9919786096256684
1024,0.5,0.702708682274436,0.9973262032085561,0.9919786096256684
