correctness,semantic_similarity,g_eval,faithfulness,relevancy
2.0,0.8184308162125866,0.7,1.0,1.0
3.0,0.8191476329104646,0.8,1.0,1.0
1.0,0.7876239132475573,1.0,1.0,0.0
1.0,0.6591496427991191,1.0,1.0,1.0
3.0,0.7412118992560537,0.8,1.0,1.0
1.0,0.39112254181094924,0.0,0.0,1.0
4.0,0.8327212186172824,1.0,1.0,1.0
5.0,0.704227990832119,1.0,1.0,1.0
5.0,0.7398812976075281,1.0,0.0,1.0
1.0,0.4036331047953711,1.0,0.0,0.0
5.0,0.8669505854940435,1.0,1.0,1.0
5.0,0.704227990832119,0.0,1.0,1.0
2.0,0.8694687603933757,0.9,1.0,1.0
1.0,0.4036331047953711,1.0,0.0,0.0
2.0,0.8385873616653508,0.7,1.0,1.0
1.0,0.4036331047953711,1.0,0.0,0.0
1.0,0.26330616793256645,0.0,0.0,0.0
5.0,0.8669505854940435,1.0,1.0,1.0
1.0,0.555952666218807,1.0,0.0,0.0
1.0,0.4789366656826359,0.0,1.0,0.0
4.0,0.8352435431838272,0.9,1.0,1.0
2.0,0.5917801972913267,0.0,1.0,1.0
3.0,0.7529016508970954,0.8,1.0,1.0
1.0,0.6434904912411491,1.0,0.0,0.0
3.0,0.8430802478224635,0.8,1.0,1.0
3.0,0.7827073900778986,1.0,1.0,1.0
1.0,0.4224130369458812,1.0,0.0,0.0
1.0,0.8135912995448418,1.0,0.0,0.0
5.0,0.9999999999999999,1.0,1.0,1.0
4.0,0.6497778311135194,1.0,1.0,1.0
4.0,0.8917330926467434,0.9,1.0,1.0
5.0,0.8233159200531218,1.0,0.0,1.0
1.0,0.4036331047953711,1.0,0.0,0.0
1.0,0.49549412049899727,0.0,1.0,0.0
5.0,0.9047027407754086,1.0,1.0,1.0
1.0,0.6908372801640621,0.0,1.0,0.0
1.0,0.7173824822719326,1.0,1.0,0.0
5.0,0.934435934611033,0.0,1.0,1.0
5.0,0.7769774528301535,1.0,1.0,1.0
5.0,0.7559372775617209,1.0,0.0,1.0
1.0,0.46594332009325345,0.0,1.0,0.0
1.0,0.22272026982753954,0.0,0.0,0.0
1.0,0.7494080808685132,0.8,1.0,1.0
4.0,0.9535115624808125,0.8,1.0,1.0
3.0,0.8641211415142626,1.0,1.0,1.0
1.0,0.5924313751378836,1.0,1.0,0.0
5.0,0.8669505854940435,1.0,1.0,1.0
3.0,0.6291936218646301,0.0,1.0,0.0
1.0,0.695409172935425,0.5,1.0,1.0
1.0,0.5145955591978587,0.0,1.0,1.0
3.0,0.8587007043068012,0.9,1.0,1.0
1.0,0.42730504607827036,0.0,1.0,1.0
