Sentence,Response
come si misura la pressione?,"La pressione si misura con un misuratore di pressione al braccio, possibilmente validato, che puoi acquistare in farmacia o su internet. Durante tutta la misurazione della pressione e fino al completo sgonfiaggio del bracciale, è bene tenere presente le seguenti semplici raccomandazioni:
 
 Il paziente dovrebbe essere rilassato, seduto comodamente, con le gambe non incrociate, in ambiente tranquillo, con temperatura confortevole da almeno cinque minuti.
 Non si dovrebbe assumere bevande contenenti caffeina nell’ora precedente, né aver fumato da almeno un quarto d’ora (anzi, non si dovrebbe fumare mai!).
 Il paziente non dovrebbe parlare durante la registrazione.
 Il braccio deve essere appoggiato ed il bracciale deve essere all’altezza del cuore (vedi figura). Non importa quale braccio venga usato per la misurazione, ma bisogna ricordare che esistono a volte differenze sensibili nei valori misurati nelle due braccia. In tali casi, si dovrà utilizzare per la misura il braccio con la pressione più elevata.
 Le dimensioni del bracciale di gomma devono essere adattate alla dimensione del braccio del paziente. Nel caso di bambini o di adulti molto magri, è necessario utilizzare bracciali di dimensioni minori di quelle standard, mentre nel caso di persone molto robuste o di pazienti obesi, il bracciale dovrebbe avere una lunghezza e larghezza superiore, possibilmente di forma tronco-conica."
Sono molto preoccupato per i miei livelli di pressione sanguigna.,Non bisogna avere timore riguardo ai prori valori pressori. La pressione è un parametro molto variabile per cui va valutate nel lungo termine soprattutto se si assumono terapie farmacologiche. E' necessario essere visti periodicamente dal proprio medico che apporterà eventuali modifiche terapeutiche se necessarie.
"ciao, assistente! sono pronto per un altro giorno di successi nella gestione della mia ipertensione.",Sono pronto anch'io!
Non ho paura della mia ipertensione.,"E' corretto, non è necessario temere l'ipertensione in quanto è un fattore di rischio non una malattia. Tuttavia non va' nemmeno trascurata ma va' controllata assicurandosi che i valori rimangano entro i limiti di norma"
come la contraccezione ormonale può influenzare l’ipertensione?,Bella domanda! I dati in letteratura scientifica ci dicono che è descritta un'associazione tra contraccezione ormonale e lo sviluppo di ipertensione. Ciò sarebbe dovuto all'effetto di questi farmaci sul funzionamento dei meccanismi che regolano la pressione. Tuttavia i contraccettivi sono molto diversi tra loro e non tutti sono associabili al rischio di sviluppare ipertensione
sono molto stressato a causa della mia pressione alta.,Non c'è motivo di essere stressati riguardo ai prori valori pressori. La pressione è un parametro molto variabile per cui va valutata nel lungo termine soprattutto se si assumono terapie farmacologiche. Se ti senti molto stressato/a ti consiglio di parlarne con il tuo medico che apporterà eventuali modifiche terapeutiche se necessarie.
Quali sono i fattori di rischio per l’ipertensione?,"Tra i fattori di rischio modificabili vi sono le diete non salutari (consumo eccessivo di sale, dieta ricca di grassi, scarso apporto di frutta e verdura), l'inattività fisica, il consumo di tabacco e alcol, il sovrappeso o l'obesità. Esistono inoltre fattori di rischio ambientali tra cui l'inquinamento atmosferico. I fattori di rischio non modificabili includono una storia familiare di ipertensione, l'età superiore ai 65 anni e malattie coesistenti come il diabete o le malattie renali."
"Ho un forte mal di testa, cosa posso fare?","Non sono un medico e non posso consigliarti nulla in merito. Solitamente si assumon analgesici, non conviene controllare la pressione mentre si ha mal di testa, la troverai spesso molto variabile."
come lo stress può influenzare l’ipertensione?,Lo stress può provocare un breve rialzo della pressione sanguigna ma non ci sono dati certi che lo stress possa causare un aumento della pressione sanguigna a lungo termine.
quali sono i trattamenti disponibili per l’ipertensione?,"Le terapie per l'ipertensione arteriosa includono trattamenti non farmacologici come le modifiche dello stile di vita, ad esempio maggiore attività fisica, riduzione dell'introito di sale con la dieta, e trattamenti farmacologici che includono diversi farmaci antipertensivi"
vorrei registrare la mia ultima frequenza,Certamente dimmi pure!
come la razza può influenzare il mio rischio di malattie cardiache?,La razza è uno dei fattori che possono influenzare le malattie cardiache soprattutto la pressione. Ad esempio la razza nera si associa maggiormente ad ipertensione arteriosa rispetto alla razza bianca
Sono molto nervoso per la mia ipertensione.,Non c'è motivo di essere nervosi riguardo ai prori valori pressori. La pressione è un parametro molto variabile per cui va valutata nel lungo termine soprattutto se si assumono terapie farmacologiche. Se ti senti molto stressato/a ti consiglio di parlarne con il tuo medico che apporterà eventuali modifiche terapeutiche se necessarie.
posso aggiungere i dati della mia pressione sanguigna dell’anno scorso?,"Certamente, tuttavia si tratta di valori di pressione un po' datati che potrebbero non influire sulla tua eventuale attuale terapia antipertensiva"
"Non mi sento molto bene, la mia frequenza cardiaca è più alta del solito.",Se ti senti poco bene ti consiglio di riferirlo al tuo Medico di Medicina Generale. Purtroppo la frequenza cardiaca non è un parametro molto affidabile per capire qual è la causa dei tuoi disturbi
Mi sento molto preoccupato per la mia pressione alta.,Non bisogna avere timore riguardo ai prori valori pressori. La pressione è un parametro molto variabile per cui va valutate nel lungo termine soprattutto se si assumono terapie farmacologiche. E' necessario essere visti periodicamente dal proprio medico che apporterà eventuali modifiche terapeutiche se necessarie.
"Arrivederci, assistente! Grazie per avermi aiutato a gestire la mia ipertensione oggi.",A presto!
Come l’ipertensione può influenzare la mia vita quotidiana?,"L'ipertensione in se' non è una patologia ma un fattore di rischio che si gestisce con la terapia non farmacologica (cambiando dieta, aumentando l'attività fisica) e/o assumendo medicine. Queste attività possono sicuramente influenzare la vita quotidiana ma hanno l'obiettivo di farci vivere meglio e più a lungo."
"Se ho un paziente iperteso, aumenta molto il mio rischio di sviluppare ipertensione?","Se hai un paziente già iperteso ha già la condizione, è semmai a rischio di sviluppare malattie cardiovascolari se non adeguatamente trattato"
"Mi sento molto debole, cosa mi consigli?","Non sono un medico e non posso consigliarti nulla in merito. Può essere utile misurare la pressione, se la massima è minore o uguale a 90 mmHg consulta subito un medico."
"we, assistente! Spero tu possa aiutarmi oggi con la mia ipertensione.","Ciao, il suggerimento che posso darti oggi è quello di misurare di tanto in tanto la pressione e mostrare al tuo medico i valori pressori in modo che lui/lei possa decidere come proseguire la tua terapia antipertensiva. In alternativa, puoi fornirmi le misurazioni dell'ultima settimana che hai fatto, cosicché io possa darti qualche indicazione su come sta evolvendo la gestione della tua pressione arteriosa."
"a presto, assistente! spero che tu possa continuare ad aiutarmi a gestire la mia ipertensione.",A presto!
posso registrare i dati della mia frequenza cardiaca di quest’anno?,Certamente
Mi sento molto rilassato e la mia pressione sanguigna è ottima.,"Mi fa piacere! Tuttavia, ti suggerisco di continuare le misurazioni ogni almeno 72 ore."
"ho fatto nuove misurazioni, posso inviartele?",Certamente!
non sono stressato per la mia ipertensione.,Non c'è motivo di essere stressati riguardo ai prori valori pressori. La pressione è un parametro molto variabile per cui va valutata nel lungo termine soprattutto se si assumono terapie farmacologiche. Se ti senti molto stressato/a ti consiglio di parlarne con il tuo medico che apporterà eventuali modifiche terapeutiche se necessarie.
come l’asma può influenzare la mia vita quotidiana?,L'asma può determinare mancanza di respiro e rendere difficile l'esecuzione delle attività quotidiane
"Ho qualche misura di pressione alta ogni tanto, ma immagino sia normale",Esatto! La pressione è un parametro molto variabile per cui va valutata nel lungo termine. Non è sufficiente un o più valori misurati in un breve intervallo di tempo per determinare la necessità di aggiungere o potenziare la terapia.
Ho notato che sto dormendo meglio da quando ho iniziato la nuova dieta.,"Questo è possibile, infatti alcuni studi hanno dimostrato che alcune diete sono in grado di migliorare la qualità del sonno"
non ho nervosismo per la mia ipertensione.,Non c'è motivo di essere nervosi riguardo ai prori valori pressori. La pressione è un parametro molto variabile per cui va valutata nel lungo termine soprattutto se si assumono terapie farmacologiche. Se ti senti molto stressato/a ti consiglio di parlarne con il tuo medico che apporterà eventuali modifiche terapeutiche se necessarie.
Cosa causa l’ipertensione?,"L'ipertensione arteriosa di solito si sviluppa nel tempo. Può verificarsi a causa di scelte di vita non salutari, come la mancanza di attività fisica regolare o a causa di alcune patologie come il diabete che può aumentare il rischio di sviluppare ipertensione. In una piccola proporzione l'ipertensione è causata da fattori secondari come patologie ai reni e surreni."
come l’età può influenzare l’ipertensione?,"La pressione arteriosa aumenta in maniera proporzionale con l'età anche se in alcune persone, soprattutto in età avanzata, si può osservare un iniziale calo dei valori pressori. La pressione non è influenzata solo dall'età quindi le variazioni possono dipendere anche da altri fattori tra cui il peso corporeo e la terapia farmacologica."
Ho avuto mal di testa frequenti.,I mal di testa non sono necessariamente legati alla pressione alta. Ti consiglio di parlarne con il tuo medico.
posso registrare i dettagli del mio consumo di tabacco?,"Certo, anche se il mio ruolo principale è registrare i valori di pressione e frequenza cardiaca"
Mi sento un po’ stanco e ho notato che la mia pressione sanguigna è più alta del solito.,Non sempre c'è correlazione tra la pressione e i sintomi riferiti. Per i sintomi ti consigliamo di parlarne con il tuo Medico di Medicina Generale.
"Ciao, come stai?",Bene grazie.
ho paura che la mia pressione alta possa causare problemi alla vista.,L'ipertensione arteriosa può danneggiare i numerosi e minuscoli vasi sanguigni presenti negli occhi e può causare danni come la retinopatia ipertensiva. Tuttavia riducendo la pressione arteriosa si riduce il rischio di sviluppare danni ai vasi degli occhi
mi sento molto sereno riguardo alla mia ipertensione.,"MI fa piacere! L'ipertensione è un fattore di rischio, non una patologia."
sono molto calmo riguardo alla mia pressione alta.,"Mi fa piacere! Tuttavia, ti suggerisco di continuare le misurazioni ogni almeno 72 ore."
non ho paura della mia pressione alta.,Non bisogna avere timore riguardo ai prori valori pressori. La pressione è un parametro molto variabile per cui va valutate nel lungo termine soprattutto se si assumono terapie farmacologiche. E' necessario essere visti periodicamente dal proprio medico che apporterà eventuali modifiche terapeutiche se necessarie.
quali sono i sintomi dell’ipertensione?,"La maggior parte delle persone affette da ipertensione arteriosa non presenta alcun sintomo, anche se i valori della pressione sanguigna raggiungono livelli elevati. L'ipertensione può durare anni senza alcun sintomo. A alcune persone con pressione alta possono avere mal di testa, respiro corto, sangue dal naso. Tuttavia, questi sintomi non sono specifici."
posso registrare i dati della mia frequenza cardiaca del prossimo anno?,"Certo, quando l'anno prossimo misurerai la pressione ricordati di scrivermi i valori in modo che io li possa registrare"
non sono sereno date le mie ultime misurazioni,Perché io possa aiurtarti ho bisogno di sapere quali sono le tue misurazioni dell'ultima settimana. Ti chiederi di condividermi quindi i valori di pressione sistolica e diastolica che hai acquisito e di continuare le misurazioni ogni almeno 72 ore.
