correctness,semantic_similarity,g_eval,faithfulness,relevancy
1.0,0.7395628221412422,1.0,1.0,0.0
2.0,0.7670660683053571,0.0,1.0,1.0
4.0,0.625266266169481,1.0,0.0,0.0
2.0,0.583183005539769,1.0,0.0,0.0
2.0,0.5986039207253543,1.0,0.0,0.0
2.0,0.5632321407119347,1.0,0.0,1.0
1.0,0.5899048941963586,0.0,0.0,0.0
4.0,0.6379827542519423,1.0,0.0,0.0
1.0,0.6469891874606368,0.8,1.0,0.0
4.0,0.8614732331234641,0.8,1.0,1.0
1.0,0.6087912246415258,0.0,1.0,0.0
4.0,0.7607051816450838,1.0,1.0,1.0
2.0,0.5901327432239046,0.7,0.0,1.0
3.0,0.8187631874759246,1.0,1.0,1.0
1.0,0.5854291275434468,1.0,1.0,1.0
1.0,0.5634740455119561,0.0,1.0,1.0
2.0,0.7547936542115948,1.0,1.0,1.0
2.0,0.7690603991367136,0.0,1.0,1.0
5.0,0.99810886999419,1.0,1.0,1.0
5.0,0.99810886999419,0.6,1.0,1.0
