correctness,semantic_similarity,g_eval
1.0,0.7399077992838209,1.0
5.0,0.8823071779964587,1.0
5.0,0.9592360544727736,1.0
4.0,0.8889703158606252,1.0
4.0,0.6951265199457157,1.0
5.0,0.8107755864996327,1.0
5.0,0.918460866380986,0.0
2.0,0.6358023706807637,1.0
4.5,0.8705368504441146,1.0
3.0,0.8533290241283317,1.0
1.0,0.6151341381940062,0.8
2.0,0.8708205169062416,1.0
4.0,0.7500938418089531,1.0
4.0,0.7825101552284658,1.0
4.5,0.8019281012997687,0.9
4.5,0.8053319691089106,0.8
1.0,0.7308242493625027,0.8
3.0,0.8064226112180183,0.0
1.0,0.6175851267119176,0.9
5.0,0.9999999999999998,0.8
