correctness,semantic_similarity,g_eval
1.0,0.7479607151492254,1.0
4.0,0.8440573305292653,0.7
2.0,0.7367837801308651,1.0
5.0,0.6949019502888724,1.0
5.0,0.7628119852945767,0.9
5.0,0.7658587305150125,0.9
1.0,0.5854147670328902,1.0
4.0,0.7945480277636965,0.8
5.0,0.7359696750194504,0.9
2.0,0.852921674503647,0.0
2.0,0.561840046349727,0.9
4.0,0.7413860927837503,0.8
1.0,0.6896587417462117,1.0
4.5,0.8350907941865248,0.8
5.0,0.8049245383258629,1.0
5.0,0.8014544465485882,0.8
2.0,0.7285171243883896,0.3
3.0,0.7772473750980385,0.8
1.0,0.6055459825692252,0.8
1.0,0.6400340417806039,0.0
