correctness,semantic_similarity,g_eval,faithfulness,relevancy
1.0,0.7377802611059615,1.0,1.0,1.0
4.0,0.7733597034129941,0.7,1.0,1.0
1.0,0.8211551194759026,0.8,1.0,0.0
5.0,0.7889358147050302,0.8,1.0,1.0
3.0,0.6048284619333566,1.0,0.0,1.0
5.0,0.49324094586029416,0.8,0.0,0.0
2.0,0.828241024968811,0.8,1.0,1.0
4.5,0.8663451265588096,0.8,1.0,1.0
4.0,0.6763207058801144,0.0,1.0,0.0
2.0,0.8046203364257745,0.0,1.0,1.0
1.0,0.6432322014890525,0.0,1.0,0.0
3.0,0.7981030989593453,0.0,1.0,1.0
2.0,0.5798567991704617,0.7,0.0,0.0
1.0,0.6179084745360802,1.0,0.0,0.0
2.0,0.8459319210763897,0.6,0.0,0.0
4.0,0.5569615754921878,0.8,0.0,0.0
2.0,0.6847980474812219,0.7,1.0,1.0
1.0,0.5805797158735703,0.5,0.0,0.0
1.0,0.5995530485560282,0.8,1.0,1.0
1.0,0.7153361579217843,0.8,1.0,0.0
