correctness,semantic_similarity,g_eval
1.0,0.8084619408634385,1.0
1.0,0.8495436894031894,1.0
1.0,0.7843216703443799,1.0
1.0,0.8350507620362149,1.0
1.0,0.9106209455713768,1.0
1.0,0.819469181650741,0.0
1.0,0.8285117265788653,1.0
1.0,0.6783747409324631,1.0
1.0,0.6009886306702809,1.0
1.0,0.7992365359127127,1.0
1.0,0.8675168781532171,1.0
1.0,0.7909832095786041,1.0
1.0,0.8612067330995598,1.0
1.0,0.8307188739173694,1.0
1.0,0.7752623397149334,1.0
1.0,0.8699658031390883,1.0
1.0,0.8139281530740627,1.0
1.0,0.6539792801814042,1.0
1.0,0.8428860351428122,1.0
1.0,0.7918874053708633,1.0
1.0,0.8119145570185001,1.0
