correctness,semantic_similarity,g_eval,faithfulness,relevancy
1.0,0.7468492893939062,1.0,1.0,1.0
1.0,0.7932306010634187,1.0,1.0,1.0
0.0,0.7680295911487052,1.0,1.0,1.0
1.0,0.858790283673738,0.0,1.0,1.0
1.0,0.921052216770323,1.0,1.0,1.0
1.0,0.9101693008643291,1.0,1.0,1.0
1.0,0.7995493734733504,1.0,1.0,1.0
1.0,0.8775001210202762,1.0,1.0,1.0
1.0,0.858672452214107,1.0,1.0,1.0
1.0,0.8266743660804788,1.0,1.0,1.0
1.0,0.8935626819009008,1.0,1.0,1.0
1.0,0.8202005978520569,1.0,1.0,1.0
1.0,0.901916707492774,1.0,1.0,1.0
1.0,0.7807618171265192,1.0,1.0,1.0
1.0,0.8600231521300605,1.0,1.0,1.0
1.0,0.9132901307204312,1.0,1.0,1.0
1.0,0.8966596922116037,1.0,1.0,1.0
1.0,0.8470615420130508,1.0,1.0,1.0
1.0,0.9110956159051321,1.0,1.0,1.0
1.0,0.8926417625339574,1.0,1.0,1.0
1.0,0.8797932929035087,1.0,1.0,1.0
