correctness,semantic_similarity,g_eval
1.0,0.8166988821167853,1.0
1.0,0.7803521810569228,1.0
1.0,0.8417449182626255,1.0
1.0,0.6045939789075849,1.0
1.0,0.8838080605346329,1.0
1.0,0.5352380302786861,1.0
1.0,0.6093452763057592,1.0
1.0,0.7942235997460527,1.0
1.0,0.7983561808015385,1.0
1.0,0.8019815007814641,1.0
1.0,0.8750811569304886,1.0
1.0,0.8451070982426402,1.0
1.0,0.746656559278498,1.0
1.0,0.7794620185045941,1.0
1.0,0.7019176852914422,1.0
1.0,0.7963618798267954,1.0
1.0,0.7695286524945986,1.0
1.0,0.8284499001470036,1.0
1.0,0.7823044553416897,1.0
1.0,0.8780604099746979,1.0
1.0,0.6133245819847846,1.0
