correctness,semantic_similarity,g_eval
1.0,0.8267549076414618,1.0
1.0,0.7722032013591938,1.0
1.0,0.8412526675716246,1.0
1.0,0.7892315099111126,1.0
1.0,0.8875182967875576,1.0
1.0,0.7893517472290623,1.0
1.0,0.8062883703375446,1.0
1.0,0.7944211912618605,1.0
1.0,0.789423622896533,1.0
1.0,0.7977994013622889,1.0
1.0,0.8672290395991975,1.0
1.0,0.759389267642812,1.0
1.0,0.533812885632577,1.0
1.0,0.7027287325645911,1.0
1.0,0.8127178222271418,1.0
1.0,0.8062331594714927,1.0
1.0,0.7515407723138964,1.0
1.0,0.4542055516745732,1.0
1.0,0.7231635508281364,1.0
1.0,0.8715082493675922,1.0
1.0,0.8061395595404165,1.0
