correctness,semantic_similarity,g_eval,faithfulness,relevancy
1.0,0.6041574709624267,1.0,1.0,0.0
3.0,0.772528948682128,0.0,1.0,1.0
3.0,0.9177665864885847,0.0,1.0,1.0
1.0,0.5747341950872035,0.5,0.0,0.0
4.0,0.5972558348277559,1.0,1.0,1.0
2.0,0.5561559145955242,0.7,0.0,0.0
2.0,0.5810246970503821,1.0,0.0,0.0
5.0,0.9176402953655703,0.7,1.0,1.0
3.0,0.7790360710994984,0.0,1.0,1.0
1.0,0.6069394408889542,1.0,0.0,0.0
1.0,0.6160375000316807,0.8,1.0,1.0
2.0,0.6524255277093506,0.0,0.0,0.0
2.0,0.5798567991704617,0.0,0.0,0.0
1.0,0.6179084745360802,0.2,0.0,0.0
1.0,0.5848601410580249,0.0,0.0,1.0
4.0,0.7602173966635993,1.0,1.0,0.0
3.0,0.7948539083425377,0.0,1.0,1.0
2.0,0.7088630720643355,0.0,1.0,1.0
1.0,0.6282658329142398,0.2,1.0,1.0
5.0,0.9981231017797354,1.0,0.0,0.0
