correctness,semantic_similarity,g_eval
1.0,0.8181982423589605,1.0
1.0,0.8442199348292856,1.0
1.0,0.8501541287067147,1.0
1.0,0.8009815972373,1.0
1.0,0.8927850205126179,1.0
1.0,0.8125880373756723,1.0
1.0,0.8240886087414645,1.0
1.0,0.7494063485826914,1.0
1.0,0.4853262241227511,1.0
1.0,0.8653957250261297,1.0
1.0,0.8313403445568279,1.0
1.0,0.7526127822246095,1.0
1.0,0.8663868077261022,1.0
1.0,0.8585994196386393,1.0
1.0,0.8300395718305021,1.0
1.0,0.8264222394752576,1.0
1.0,0.8163091976073081,1.0
1.0,0.6558573676919295,1.0
1.0,0.8794455386745601,1.0
1.0,0.8580744661448848,1.0
1.0,0.7868532185276338,1.0
