correctness,semantic_similarity,g_eval,faithfulness,relevancy
1.0,0.847822587891765,1.0,1.0,1.0
1.0,0.7987965602337258,1.0,1.0,1.0
0.0,0.7775240755015167,1.0,1.0,1.0
1.0,0.8125901673680376,1.0,1.0,1.0
1.0,0.8732446799594467,1.0,1.0,1.0
1.0,0.842693922877464,1.0,1.0,1.0
1.0,0.7991818151467588,1.0,1.0,1.0
1.0,0.7363932382181451,1.0,1.0,1.0
1.0,0.6814499516912463,1.0,1.0,1.0
1.0,0.7569677248394769,1.0,1.0,1.0
1.0,0.9173766554055298,1.0,1.0,1.0
1.0,0.6633690452988122,1.0,1.0,1.0
1.0,0.9338311129119202,1.0,1.0,1.0
1.0,0.8680439717253152,1.0,1.0,1.0
1.0,0.6177181015438081,1.0,1.0,1.0
1.0,0.8386606530312166,0.0,1.0,1.0
1.0,0.7616938287097805,1.0,1.0,1.0
1.0,0.8503519547354556,1.0,1.0,1.0
1.0,0.6679146750603476,1.0,1.0,1.0
1.0,0.916718508372272,1.0,1.0,1.0
1.0,0.625176222396602,1.0,1.0,1.0
