correctness,semantic_similarity,g_eval
1.0,0.7888514032893253,1.0
1.0,0.6035698190140978,1.0
1.0,0.8747654787770646,1.0
1.0,0.803161523461819,1.0
1.0,0.851659376007666,1.0
1.0,0.8629065616418216,1.0
1.0,0.7943554612986496,1.0
1.0,0.8577839396517506,1.0
1.0,0.7057338631711517,1.0
1.0,0.6653974805327887,0.0
1.0,0.8264003539678002,1.0
1.0,0.7009500932640136,0.0
1.0,0.8588657595537692,1.0
1.0,0.7137737449250069,1.0
1.0,0.7451222069742368,1.0
1.0,0.7955743610254691,1.0
1.0,0.8462805814735342,1.0
1.0,0.7063221182280577,1.0
1.0,0.7344005931175431,1.0
1.0,0.8836734786393808,1.0
1.0,0.8661562662605028,1.0
