correctness,semantic_similarity,g_eval
1.0,0.8371313577482391,1.0
1.0,0.8185284982762149,1.0
1.0,0.8302126095450252,1.0
1.0,0.8184140416039739,1.0
1.0,0.8944942782334894,1.0
1.0,0.8383073121596442,1.0
1.0,0.7721484108466136,1.0
1.0,0.893912234911156,1.0
1.0,0.8468521596142573,1.0
1.0,0.8711929108367028,1.0
1.0,0.882243159545854,1.0
1.0,0.7308201738894784,1.0
1.0,0.8853828620888992,1.0
1.0,0.7914330619939447,1.0
1.0,0.7982165282979866,1.0
1.0,0.8812473561031605,1.0
1.0,0.7774605185363336,1.0
1.0,0.8869463003390834,0.0
1.0,0.8695909171397224,1.0
1.0,0.8801693386202409,0.0
1.0,0.8248158604488943,0.0
