correctness,semantic_similarity,g_eval,faithfulness,relevancy
2.0,0.6041574709624267,0.0,1.0,0.0
4.0,0.8140537836840418,0.0,1.0,1.0
5.0,0.8418081946463097,1.0,1.0,1.0
2.0,0.6835918705070743,1.0,0.0,0.0
2.0,0.6536380443774152,0.0,1.0,0.0
2.5,0.82391566305078,0.0,1.0,0.0
1.0,0.7670627162225853,0.0,0.0,0.0
2.0,0.684763864245785,0.8,0.0,0.0
2.0,0.707708774808363,0.6,1.0,0.0
1.0,0.6325551261424932,1.0,1.0,0.0
1.0,0.5782738142366746,0.0,1.0,0.0
2.0,0.8334750203679292,0.7,1.0,1.0
2.0,0.586488813221888,0.0,1.0,0.0
1.0,0.7171606578443778,0.8,1.0,0.0
1.0,0.5848601410580249,0.2,1.0,0.0
1.0,0.7196066873942275,0.7,1.0,1.0
1.0,0.7154058767085573,0.6,1.0,1.0
1.0,0.6261604263256307,0.8,1.0,0.0
1.0,0.6274999498566266,0.7,1.0,0.0
4.5,0.7414007330270724,0.1,0.0,0.0
