correctness,semantic_similarity,g_eval,faithfulness,relevancy
1.0,0.6041574709624267,0.8,1.0,1.0
5.0,0.8707066057576456,1.0,1.0,1.0
4.0,0.8441842958369283,1.0,1.0,1.0
5.0,0.7705702733126053,1.0,1.0,1.0
2.0,0.5930852050531571,0.0,0.0,0.0
5.0,0.8139008774004719,0.9,1.0,1.0
5.0,0.8657151483276514,0.9,1.0,1.0
4.0,0.844968618602728,1.0,1.0,1.0
2.0,0.7928230876631205,1.0,1.0,1.0
4.0,0.8420533615093794,1.0,1.0,1.0
1.0,0.5994823121313757,0.7,1.0,1.0
4.5,0.8208552507562995,0.8,1.0,1.0
2.0,0.5798567991704617,0.9,0.0,0.0
4.0,0.8396944204896941,0.8,1.0,1.0
5.0,0.8259752896604183,0.0,1.0,0.0
2.5,0.7700690140868123,0.9,1.0,0.0
2.0,0.7567215322382755,0.8,1.0,1.0
3.0,0.7901662087073326,0.8,1.0,1.0
1.0,0.6486646811076471,0.0,1.0,1.0
5.0,0.9981231017797354,0.7,0.0,0.0
