correctness,semantic_similarity,g_eval,faithfulness,relevancy
1.0,0.5953859710438293,1.0,0.0,0.0
4.0,0.8471748525177326,1.0,1.0,1.0
2.0,0.8126108990668882,0.0,1.0,0.0
2.0,0.7743855081107992,0.0,0.0,0.0
2.0,0.5930852050531571,0.0,0.0,0.0
3.0,0.8374231281990602,0.7,1.0,1.0
2.0,0.5810246970503821,0.0,0.0,0.0
4.0,0.8623386950091845,0.0,1.0,1.0
2.0,0.8468286832810739,0.8,1.0,0.0
1.0,0.6069394408889542,0.0,0.0,0.0
1.0,0.617833688792775,0.7,1.0,0.0
2.0,0.6524255277093506,0.8,0.0,0.0
1.0,0.7137466817660921,1.0,1.0,0.0
1.0,0.6676911696483744,0.7,1.0,0.0
1.0,0.5770329755786084,0.0,0.0,0.0
1.0,0.7693780310989471,0.0,1.0,0.0
2.0,0.733094084509532,0.8,1.0,0.0
3.0,0.7977127629722397,0.7,1.0,1.0
1.0,0.636738937638336,0.6,1.0,1.0
5.0,0.9999999999999998,0.7,1.0,1.0
