correctness,semantic_similarity,g_eval
1.0,0.761162362628397,1.0
4.5,0.8955214577206136,1.0
1.0,0.7932185514696407,1.0
5.0,0.6950692880415166,1.0
5.0,0.6752576623324839,0.9
5.0,0.7921360700870064,1.0
4.0,0.6737202131855358,1.0
3.0,0.7226731551574269,0.0
3.0,0.8239703337891263,1.0
2.0,0.84266029723346,1.0
1.0,0.5741495069149712,0.9
4.0,0.8375931704016384,1.0
2.0,0.8087562742875745,1.0
3.0,0.7703498957148371,0.8
5.0,0.8096963204357285,0.7
4.5,0.8081274206758524,0.7
2.0,0.779722621735259,0.8
3.0,0.7009033069604531,0.8
1.0,0.623285212505267,0.8
5.0,0.9999999999999998,0.9
