correctness,semantic_similarity,g_eval
1.0,0.7896477893599729,1.0
1.0,0.8773505268071939,1.0
1.0,0.8567863497823504,0.0
1.0,0.8220677039914301,1.0
1.0,0.8778695195967302,1.0
1.0,0.8745130764840499,1.0
1.0,0.8005103462034588,1.0
1.0,0.6944315882389477,1.0
1.0,0.596733889451862,1.0
1.0,0.7882199328461317,1.0
0.0,0.7510262078151413,1.0
1.0,0.8301876881276393,1.0
1.0,0.8451268583672067,1.0
1.0,0.854717809787173,1.0
1.0,0.7956165304465477,1.0
1.0,0.8026672555500024,1.0
1.0,0.7624206586506477,1.0
1.0,0.8204391677627997,1.0
1.0,0.887580477680005,1.0
1.0,0.851604158986799,1.0
1.0,0.7979140182887402,1.0
