correctness,semantic_similarity,g_eval
1.0,0.8241336534074634,1.0
1.0,0.7628042362852572,1.0
1.0,0.740355032461031,1.0
1.0,0.6879800769306962,0.0
1.0,0.8698500312200194,0.0
1.0,0.8051101732213087,1.0
1.0,0.6652884827789672,1.0
0.0,0.7339764032704286,0.0
0.0,0.7606241985977241,1.0
1.0,0.8677185246769298,0.0
1.0,0.5743922730232929,1.0
1.0,0.7929262418255222,1.0
1.0,0.8192311487730173,1.0
1.0,0.6499203104758602,1.0
1.0,0.7929681501827067,0.0
1.0,0.8459769700109226,1.0
1.0,0.7757928752088398,1.0
1.0,0.7964558558711078,1.0
1.0,0.8049454273753396,1.0
1.0,0.9006007427070258,1.0
1.0,0.7259604309870705,1.0
