correctness,semantic_similarity,g_eval
1.0,0.832651553910462,1.0
1.0,0.6591718260689544,1.0
1.0,0.7422048634585319,1.0
1.0,0.6998780099169183,0.0
1.0,0.836464027339132,1.0
1.0,0.8183318868355568,0.0
1.0,0.7836288925232131,1.0
0.0,0.7801323452494922,1.0
1.0,0.7073238786386928,1.0
1.0,0.8267308838781736,1.0
0.0,0.6859836668386705,1.0
1.0,0.7503035495424543,1.0
0.0,0.8887011068164005,1.0
1.0,0.8311961416694745,1.0
1.0,0.8012136372677396,1.0
1.0,0.7835226707172672,1.0
0.0,0.803449280095967,1.0
1.0,0.8285809638283256,1.0
1.0,0.839881946291573,0.0
1.0,0.868369699311845,0.0
1.0,0.7412329313170196,1.0
