correctness,semantic_similarity,g_eval
1.0,0.8018456298315704,1.0
1.0,0.8082098649210636,1.0
1.0,0.7940938272185428,0.0
1.0,0.8035029088494502,1.0
1.0,0.9065174125977612,1.0
1.0,0.7657130142406109,1.0
1.0,0.7790210782093396,1.0
1.0,0.8014994158287082,1.0
1.0,0.7737408050778491,1.0
1.0,0.7644987128269363,1.0
1.0,0.7741661328708163,1.0
1.0,0.8214125956080812,1.0
1.0,0.8748674358838969,1.0
1.0,0.7678377358961717,1.0
1.0,0.7891220306201374,1.0
1.0,0.4815496257944219,1.0
1.0,0.5380220025275542,1.0
1.0,0.8453763527936385,1.0
1.0,0.8965771086326535,1.0
1.0,0.8551805428661214,1.0
1.0,0.7374360348385163,1.0
