correctness,semantic_similarity,g_eval,faithfulness,relevancy
1.0,0.7974276779636835,0.0,1.0,0.0
4.5,0.8479622719293619,0.7,1.0,1.0
3.0,0.8640278114268413,0.8,1.0,1.0
4.5,0.7859362099962034,1.0,1.0,1.0
2.0,0.5972558348277559,0.9,1.0,0.0
5.0,0.8161310905497241,1.0,0.0,0.0
1.0,0.5854147670328902,0.9,0.0,0.0
4.5,0.8429501033860234,0.8,1.0,1.0
4.0,0.8253447211840074,0.8,1.0,1.0
2.0,0.8507872942947514,1.0,1.0,1.0
1.0,0.6000621571870314,1.0,1.0,1.0
3.0,0.7858068434975529,0.8,1.0,1.0
2.0,0.7625826417076712,0.9,1.0,0.0
2.0,0.8029305139626532,0.3,1.0,0.0
5.0,0.8027982249515356,0.8,0.0,0.0
4.5,0.8527984223644046,1.0,0.0,1.0
2.0,0.7668980813201732,0.9,1.0,1.0
3.0,0.7580208740892853,0.9,1.0,1.0
1.0,0.6560898732492019,0.8,1.0,1.0
5.0,0.9999999999999998,0.7,1.0,1.0
